title,artist,audio_url,lyrics,tags,hint,answer
Attention,NewJeans,https://singsonggame.s3.amazonaws.com/audios/Attention_NewJeans_trimmed.mp3,"Mm-hmm-mm, yeah (Here we go)
One, two, three, okay
You and me, 내 맘이 보이지
한참을 쳐다봐, 가까이 다가가, you see?
Eh-yeah, you see, ayy, ayy, ayy, ayy
One, two, three, 용기가 생겼지
이미 아는 네 눈치
고개를 돌려 천천히, 여기 (Hmm), you see?
여기 보이니?
확실하게 나로 만들겠어 (Stop)
Ayy, drop the question
Drop the, drop the question (Drop it)
You give me butterflies, you know?
내 맘은 온통 paradise
꿈에서 깨워주지 마 (Ayy)","2022,댄스,여자 가수,여자 아이돌,케이팝",a________,attention
Hype Boy,NewJeans,https://singsonggame.s3.amazonaws.com/audios/HypeBoy_NewJeans_trimmed.mp3,"(Uh-uh)
(Uh-uh)
One, two, three, four
Baby, got me looking so crazy
빠져버리는 daydream
Got me feeling you, 너도 말해줄래?
누가 내게 뭐라든
남들과는 달라 넌
Maybe you could be the one
날 믿어봐 한 번
I'm not looking for just fun
Maybe I could be the one
Oh, baby
예민하대 나 lately
너 없이는 매일 매일이, yeah-eh","2022,댄스,여자 가수,여자 아이돌,케이팝",hype ___,hypeboy
Cookie,NewJeans,https://singsonggame.s3.amazonaws.com/audios/Cookie_NewJeans_trimmed.mp3,"Ee-yeah
내가 만든 쿠키
너를 위해 구웠지
But you know that it ain't for free, yeah-eh
내가 만든 쿠키
너무 부드러우니 (Yeah)
자꾸만 떠오르니 (Ayy)
널 choco-chip으로 sprinkle로
입맛 버리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어
If you want it, you can get it, if you want it
네 목소리를 또 들려줘, boy
식사는 없어, 배고파도
음료는 없어, 목말라도
달콤한, 맛만, 디저트만 만","2022,댄스,여자 가수,여자 아이돌,케이팝",c_____,cookie
Ditto,NewJeans,https://singsonggame.s3.amazonaws.com/audios/Ditto_NewJeans_trimmed.mp3,"Hoo-ooh, ooh-ooh
Hoo-ooh, hoo
Stay in the middle
Like you a little, don't want no riddle
훌쩍 커버렸어
함께한 기억처럼
널 보는 내 마음은
어느새 여름 지나 가을
기다렸지 all this time
Do you want somebody?
Like I want somebody?
날 보고 웃었지만
Do you think about me now, yeah?
All the time, yeah, all the time
I got no time to lose","2022,댄스,여자 가수,여자 아이돌,케이팝",d____,ditto
OMG,NewJeans,https://singsonggame.s3.amazonaws.com/audios/OMG_NewJeans_trimmed.mp3,"이 노래는 it's about you, baby
Only you
You, you, you
You, you, you, you
내가 힘들 때 울 것 같을 때 (Mm-hm)
기운도 이젠 나지 않을 때 (Mm-hm)
It's you, 날 걱정하네, it's you, 날 웃게하네
말 안 해도 돼, boy, what do you say?
(They keep on asking me, ""Who is he?"")
멀리든 언제든지 달려와
(They keep on asking me, ""Who is he?"")
바쁜 척도 없이 넌 나타나
(They keep on asking me, ""Who is he?"")
이게 말이 되니 난 물어봐
(They keep on asking me, ""Who is he?"")","2023,댄스,여자 가수,여자 아이돌,케이팝",o__,omg
ETA,NewJeans,https://singsonggame.s3.amazonaws.com/audios/ETA_NewJeans_trimmed.mp3,"낭비하지 마 네 시간은 은행
서둘러서 정리해 걔는 real bad
받아주면 안돼
No, you better trust me
답답해서 그래
저번에도 봤지만 너 없을 때
걘 여기저기에 눈빛을 뿌리네
아주 눈부시게
Honestly 우리 사이에
He's been totally lyin', yeah
내 생일 파티에 너만 못 온 그날
혜진이가 엄청 혼났던 그날
지원이가 여친이랑 헤어진 그날
걔는 언제나 네가 없이 그날
너무 멋있는 옷을 입고 그날","2023,댄스,여자 가수,여자 아이돌,케이팝",e__,eta
Cool With You,NewJeans,https://singsonggame.s3.amazonaws.com/audios/CoolWithYou_NewJeans_trimmed.mp3,"You know me like no other
다 표현하지 않아도
See me like no other (Mm)
And I think I like your point of view
다시 돌아와도 돼
I don't care what other people say
놓지 말아봐줘
Dreaming of each other
You may be on my mind (Mind)
Everyday baby, say you're mine (Mine)
You and me on my mind (Mind)
Everywhere, baby, say you're mine (Mine)
It feels
(It feels)
이쯤에서 정말로","2023,댄스,여자 가수,여자 아이돌,케이팝",cool ____ ___,coolwithyou
How Sweet,NewJeans,https://singsonggame.s3.amazonaws.com/audios/HowSweet_NewJeans_trimmed.mp3,"All I know is now 알게 됐어 나 (I know)
그동안 맨날 always up and down (No more)
생각 또 생각 spinnin' 'round and 'round
Changing my mind
수상해서 그렇지 이런 헛소리 (No more)
How it's supposed to be 그만해 'cause it's clear
(It's simple) It's like biting an apple
Toxic lover, you're no better
거기 숨지 말고 얼른 나와
You little demon in my storyline
Don't knock on my door, I'll see you out
Now that I'm without you
Now that I'm without you
모든 게 typical
So I've been praying so hard for a miracle","2024,댄스,여자 가수,여자 아이돌,케이팝",how _____,howsweet
Bubble Gum,NewJeans,https://singsonggame.s3.amazonaws.com/audios/BubbleGum_NewJeans_trimmed.mp3,"You just get my heart pump, pumping
Everytime that you're here around me
노랫 소리가 또 흘러나와, yeah (Yeah)
오늘 오래 걸린 이유
I'm always so excited to meet you
내 향기가 널 먼저 찾아가, yeah (먼저 찾아가 yeah)
눈 감아도 기억나게, 어디라도 따라갈래
You're so delicate 거품 속에, 숨었네
Uh-uh-uh
Oh, you make my heart melt away
You're a softie 구름 같아
이건 말로 설명 못해, you got me
Oh, oh-oh, oh
이미 우린 저기 멀리 높이 있는 풍선같이
Have you right here in a basket","2024,댄스,여자 가수,여자 아이돌,케이팝",bubble ___,bubblegum
Supernatural,NewJeans,https://singsonggame.s3.amazonaws.com/audios/Supernatural_NewJeans_trimmed.mp3,"Come on
(Ah-ah)
Stormy night, cloudy sky
In the moment, you and I
One more chance
너와 나 다시 한번 만나게
서로에게 향하게
My feeling's getting deeper
내 심박수를 믿어
우리 인연은 깊어
I gotta see the meaning of it
I don't know what we've done
되돌아가긴 싫어
もう知っている
Don't know what we've been sold","2024,댄스,여자 가수,여자 아이돌,케이팝",s___________,supernatural
